FAC2,s1380,s1830,s1840,s1850,s1860,s1880,s1890,s1900,s1910,s2490,SR550650,SR650750
3.7414,0.11472,0.81484,0.3914,0.52768,0.2694,0.4509,0.99319,0,0.88132,0.68763,1.21784,1.58838
0.01076,0.33624,0.54559,0.73311,0.64899,0.64736,0.62365,0.55328,0.41624,0.34372,0.62915,1.06398,1.13664
0.16331,0.15929,0.57363,0.77569,0.33592,0.55588,0.46808,0.77246,0.39723,0,0.55409,1.16104,2.0093
0.04158,0.11907,0.45298,0.58031,0.51302,0.64838,0.81598,0.62837,0.44577,0.66679,0,1.2705,2.66985
0.04937,0.13183,0.60221,0,0.6583,0.70239,0.87233,0.53118,0.30873,0.66018,0.81469,1.29005,1.85948
5.14625,0.08622,0.56634,0.29635,0.55839,0.69849,0.44981,0.72876,0.38182,0.61864,0.52717,1.59012,1.39963
0.78641,0.09234,0.39307,0.29411,0.64505,0.53952,0.56047,0.53341,0.35362,0.5231,0.27601,1.15342,2.34463
0.47909,0.09746,0.39046,0.39634,0.52792,0.7362,0.48692,0.69309,0.79083,0.48619,0.19975,1.07225,1.77559
0.20258,0.09948,0.19199,0.40463,0.30799,0.54964,0.19722,0.5477,0.36174,0.54704,0.66325,1.19067,2.37582
0.18202,0.16686,0.91784,0.51816,0.68279,0.52016,0,0.64438,0.34793,0.57177,0.16211,1.30381,2.05148
-0.11418,0.2193,0.47994,0.80775,0,0.51031,0.76253,0.706,0.87497,0.6692,0.90379,1.24602,0.87068
-0.45273,0.03948,0.16278,0.13597,0.38139,0.3633,0.20249,0.16909,0.36167,0.12039,0.51077,0.83261,2.77596
-0.65408,0.0392,0.16479,0,0,0.40294,0.14856,0.56807,0.37562,0.1523,0.29199,0.99003,1.96194
-0.74186,0.0324,0.13552,0,0.49769,0.71963,0.06937,0.29544,0.77265,0.05464,0.20653,0.98917,2.0685
-0.57683,0.02201,0.36293,0.68831,0.41268,0.45104,0.07553,0.2477,0.15845,0.06696,0.3905,1.08152,0.92967
-0.72006,0.03495,0.39197,0.3655,0.21067,0.43452,0.17274,0.12987,0.32467,0.08911,0.22268,1.00574,2.33877
-0.74238,0.03208,0.16076,0.67336,0.44828,0.14275,0.48172,0.27113,0.57703,0.2913,0.22198,0.96719,2.17036
-0.65132,0.02509,0.09443,0.20731,0.66464,0.4568,0.10191,0.11195,0.4633,0.09027,0.19898,1.134,1.83538
-0.73379,0.04711,0.49185,0.69578,0.4393,0.56461,0.25295,0.32004,0.70868,0.14446,0.28385,1.02251,2.04858
-0.7331,0.06591,0.17146,0,0.40489,0.45106,0.33897,0.49295,0.34695,0.25382,0.16742,0.95658,1.81314
-0.4665,0.22177,0.01446,0.24608,0.54955,0.55714,0,0.52866,0.20821,0.39858,0.31774,1.23782,2.3119
-0.74029,0.17418,0.45052,0.31767,0.30793,0.42763,0.17182,0.47971,0.45665,0.18752,0.001,1.16759,1.7092
0.17076,0.20274,0.28239,0.5517,0.49515,0.44096,0.40526,0.81751,0.52467,0.51511,0.566,1.19381,1.9496
-0.12393,0.11604,0.5184,0.88897,0.50628,0.45687,0.43381,0.44811,0.48349,0.5223,0.26712,1.19266,2.01286
-0.12254,0.14743,0.67741,0.88907,0.44751,0.55054,0.91385,0.38157,0.18939,0.63224,0.17291,1.17245,2.13108
0.05928,0.19017,0.89703,0.82414,0.73801,0,0.52567,0.54722,0.52364,0.59164,0.41426,1.21475,1.23526
0.30966,0.3059,0.65748,0.62448,0.78161,0.5255,0.72713,0.72975,0.39203,0.48234,0.27975,1.32043,1.35109
0.31572,0.26271,0.76214,0.59881,0.58543,0,0.89043,0.47796,0.48663,0.37567,0.78649,1.3853,1.27302
-0.55335,0.01234,0.32476,0,0.36433,0.43857,0.10357,0.09529,0.36907,0.10892,0.19153,0.94375,2.11905
-1.36424,0.01334,0.27231,0,0,0.38742,0.22395,0.17609,0.53696,0.17679,0.11687,0.97351,1.70289
-0.65058,0.01243,0.17395,0.21986,0,0.55613,0.02295,0.02702,0.45791,0.06315,0.25273,0.93362,1.65019
-0.65764,0.00789,0.0871,0.50444,0.27968,0.15828,0.04832,0.03617,0.19957,0.04229,0.03776,0.91569,1.48611
-0.5297,0.01433,0.26864,0.59228,0.58193,0.38691,0.0567,0.0468,0.21464,0.07798,0.18298,0.95728,1.67291
-0.562,0.01322,0.12034,0.3542,0.26681,0.19953,0.05184,0.0823,0.32713,0.12028,0.13078,0.95326,2.00568
-0.28651,0.01431,0.17179,0.37807,0.2851,0.30425,0.06793,0.03639,0.08614,0.04509,0.07295,1.02667,2.06482
